train_noise,depth,mlp_ratio,params,accuracy,auc_mean,auc_ci_low,auc_ci_high,precision,recall,f1
0.0,10,0.5,1885834,76.42999999999999,97.22048066774923,97.21547987323892,97.22548146225954,76.34481564536259,76.42999999999999,76.35126266699326
0.05,10,0.5,1885834,71.46000000000001,96.30745329868087,96.30149279495454,96.31341380240718,72.09726404892562,71.46000000000001,71.49239147785431
0.1,10,0.5,1885834,64.64999999999999,94.67760073968019,94.67031746766898,94.6848840116914,67.44759538568562,64.64999999999999,64.9102147454071
0.15,10,0.5,1885834,62.78,94.1468221878364,94.13900203606006,94.15464233961276,66.97115447382149,62.779999999999994,63.07549480876358
0.2,10,0.5,1885834,57.709999999999994,92.99561223381342,92.98722127020092,93.00400319742592,62.677447894766836,57.71000000000001,58.1664698304798
0.25,10,0.5,1885834,54.949999999999996,92.02989796355543,92.02072033097298,92.03907559613789,59.35191539368816,54.95000000000001,55.379808942722455
0.3,10,0.5,1885834,54.16,91.12353131027325,91.11382663805088,91.13323598249562,57.55121809313366,54.16000000000001,54.550627408058894
0.35,10,0.5,1885834,51.2,89.84928057952811,89.83872073928669,89.85984041976954,54.76050946139406,51.2,51.37259518143862
0.4,10,0.5,1885834,51.32,89.87566084222662,89.86505598840607,89.88626569604718,53.94874765164324,51.32,51.414478812741834
0.0,10,1.0,2255434,77.62,97.40760610383691,97.40268190478845,97.41253030288537,77.5355454046047,77.62,77.56397300685813
0.05,10,1.0,2255434,75.52,97.09086787915214,97.08569542449817,97.09604033380612,76.20093451096764,75.52,75.53664084797663
0.1,10,1.0,2255434,68.97,95.7712003458226,95.7644153598745,95.77798533177071,72.10046018429588,68.97,69.22673214559167
0.15,10,1.0,2255434,63.85999999999999,94.41165646989232,94.40411900397947,94.41919393580517,67.57358073005862,63.86000000000001,64.20234334893304
0.2,10,1.0,2255434,58.089999999999996,92.96855667160375,92.96018089767651,92.97693244553099,63.87376150000905,58.089999999999996,58.54924056124629
0.25,10,1.0,2255434,55.32,91.41550460700124,91.40607462705223,91.42493458695024,59.47916524735739,55.32,55.71798085250084
0.3,10,1.0,2255434,52.86,90.24818914299256,90.23770957388047,90.25866871210467,56.3510564306441,52.86,53.115790985096936
0.35,10,1.0,2255434,51.66,90.00254307133238,89.99262843834134,90.01245770432344,55.20034298851585,51.66,52.01366468900272
0.4,10,1.0,2255434,50.849999999999994,89.38379047131401,89.37311077783717,89.39447016479086,52.4883088287231,50.849999999999994,50.96847154880212
0.0,10,1.5,2625034,75.01,96.86493944920312,96.85966441131784,96.87021448708842,74.87576354715712,75.01,74.8731818128911
0.05,10,1.5,2625034,74.29,96.84617450992145,96.84081203246632,96.85153698737659,75.21021521347271,74.28999999999999,74.37900354922576
0.1,10,1.5,2625034,67.53,95.52159366952458,95.51475644130201,95.52843089774714,70.70547665552283,67.52999999999999,67.81252578742718
0.15,10,1.5,2625034,63.06,94.2510844886395,94.24324500292606,94.25892397435295,66.67404243944878,63.059999999999995,63.42646893071784
0.2,10,1.5,2625034,57.32000000000001,92.63232206765689,92.62361066752042,92.64103346779335,63.00672225133287,57.32000000000001,57.65694622565385
0.25,10,1.5,2625034,55.76,92.01848364365473,92.00906801350332,92.02789927380614,59.805339114674304,55.76000000000001,56.11095253605415
0.3,10,1.5,2625034,51.019999999999996,89.85524416400935,89.84457618230327,89.86591214571543,55.579831686727665,51.019999999999996,51.24316862572245
0.35,10,1.5,2625034,50.63999999999999,89.6320035223008,89.62134306115598,89.64266398344563,54.059206297062765,50.63999999999999,50.67362896971991
0.4,10,1.5,2625034,50.07,89.42520335785296,89.41472110200046,89.43568561370549,53.35107690806223,50.07,50.10036746844667
0.0,10,2.0,2994634,77.83,97.43355529620102,97.42875598280921,97.43835460959285,77.7310462165689,77.83,77.75370007724487
0.05,10,2.0,2994634,73.7,96.74869978032451,96.74321601782904,96.75418354281997,75.17489384630588,73.7,73.75622351600113
0.1,10,2.0,2994634,66.24,95.19049989818681,95.18358157923764,95.197418217136,69.55535530993696,66.24000000000001,66.52829896572767
0.15,10,2.0,2994634,60.95,93.61830469048884,93.61014421773814,93.62646516323953,65.6137734066086,60.95,61.44402212329586
0.2,10,2.0,2994634,52.04,91.28090080022146,91.2711087955774,91.29069280486553,60.62621776482714,52.039999999999985,52.007166947888514
0.25,10,2.0,2994634,53.080000000000005,90.95391672491272,90.94400179346229,90.96383165636314,58.182824981277406,53.080000000000005,53.461546037579396
0.3,10,2.0,2994634,54.0,90.7677695472704,90.75804786650104,90.77749122803976,57.6630216590378,53.99999999999999,54.233827097921214
0.35,10,2.0,2994634,48.230000000000004,88.92230772064102,88.91137645874333,88.9332389825387,51.618665740011416,48.23,47.99643712091514
0.4,10,2.0,2994634,48.15,88.20129001630077,88.18895345616369,88.21362657643786,51.468844202841744,48.150000000000006,48.20849129245091
0.0,10,2.5,3364234,73.54,96.61924804142528,96.61357093933935,96.62492514351119,73.33048506419534,73.54,73.39296828576344
0.05,10,2.5,3364234,75.09,96.96200458782717,96.95670119090398,96.96730798475035,75.92078541127255,75.08999999999999,75.13683984940684
0.1,10,2.5,3364234,65.81,95.1230647613401,95.11578777382475,95.13034174885546,70.10784137266457,65.80999999999999,65.77797197254804
0.15,10,2.5,3364234,61.050000000000004,93.78754237672422,93.77961182184922,93.79547293159922,66.299886415423,61.04999999999999,61.48322852122789
0.2,10,2.5,3364234,54.620000000000005,92.00060723246176,91.9909738013145,92.01024066360904,61.88126441999883,54.620000000000005,54.995038902107005
0.25,10,2.5,3364234,52.470000000000006,90.50330150051103,90.49348463699434,90.51311836402773,58.50674527937516,52.46999999999999,52.85470058097774
0.3,10,2.5,3364234,51.82,89.94747361710013,89.93712106672461,89.95782616747564,55.822278588006355,51.82,51.806010407568756
0.35,10,2.5,3364234,46.36,88.06853189620539,88.05647509963677,88.08058869277399,53.42759913195282,46.35999999999999,46.88955081075802
0.4,10,2.5,3364234,48.370000000000005,88.56090297194851,88.54980822504497,88.57199771885205,50.849287854522665,48.37,48.30836332230422
0.0,10,3.0,3733834,76.78,97.23685371026241,97.23184322726458,97.24186419326023,76.6353202388106,76.77999999999999,76.67718405994472
0.05,10,3.0,3733834,73.14,96.58213464662184,96.5761003850937,96.58816890814998,74.23723724393699,73.14,73.19223620495931
0.1,10,3.0,3733834,66.67,95.29861910432469,95.2916368605915,95.30560134805788,69.78717553187333,66.67,66.83406973175957
0.15,10,3.0,3733834,60.68,93.72977173837953,93.72152183142093,93.73802164533814,65.81475660433684,60.68,61.067928301450166
0.2,10,3.0,3733834,54.85,92.01713697367569,92.00799910320411,92.02627484414728,60.55756728540309,54.85,54.73822765788333
0.25,10,3.0,3733834,53.559999999999995,91.27473574471327,91.26504136680833,91.28443012261822,58.885105968678445,53.559999999999995,54.00188954335532
0.3,10,3.0,3733834,51.470000000000006,89.99501629388722,89.98437135426947,90.00566123350497,55.23253624824835,51.470000000000006,51.90880381891112
0.35,10,3.0,3733834,49.480000000000004,89.35699242217304,89.34603375257545,89.36795109177064,54.127680363157474,49.480000000000004,49.380929472174024
0.4,10,3.0,3733834,48.91,88.62105847102856,88.60931805782968,88.63279888422746,51.47334425297283,48.91,49.04300778472461
0.0,10,3.5,4103434,74.92999999999999,96.8298937357229,96.82427819453741,96.8355092769084,74.83074074884729,74.92999999999999,74.85463558257769
0.05,10,3.5,4103434,75.53999999999999,97.0897532707242,97.08452279130042,97.09498375014799,76.69237329746588,75.53999999999999,75.64587710769509
0.1,10,3.5,4103434,67.45,95.52570856767595,95.51898295890268,95.53243417644921,70.70992578005124,67.45,67.5979959477327
0.15,10,3.5,4103434,60.39,93.71075467055414,93.70254545318096,93.71896388792732,66.2882627726629,60.39,60.66322265193197
0.2,10,3.5,4103434,52.910000000000004,91.03324733125984,91.02330067334479,91.0431939891749,59.39398540685528,52.910000000000004,53.17517283610484
0.25,10,3.5,4103434,49.75,89.98400691142237,89.9739343117971,89.99407951104766,57.548802216040826,49.74999999999999,50.02438771791458
0.3,10,3.5,4103434,48.77,88.99301082089018,88.98185452925004,89.00416711253033,51.62166481297752,48.77000000000001,48.597322554584785
0.35,10,3.5,4103434,45.93,88.03241956669869,88.02094161308979,88.0438975203076,51.63923086688654,45.93,45.8051530028868
0.4,10,3.5,4103434,45.37,87.4349673711878,87.42289391769535,87.44704082468026,48.95291804484129,45.37000000000001,45.21977264901096
0.0,10,4.0,4473034,79.01,97.68634760691099,97.6817812705947,97.69091394322726,78.9400017326309,79.01,78.95928075817207
0.05,10,4.0,4473034,72.11999999999999,96.48562944251312,96.47979622224653,96.4914626627797,73.34446128592049,72.12,72.25276420137284
0.1,10,4.0,4473034,64.1,94.79430854283146,94.78701960235558,94.80159748330735,68.23946163492167,64.1,64.426540070513
0.15,10,4.0,4473034,56.330000000000005,92.74000099379074,92.73144623496174,92.74855575261977,63.601189823427674,56.330000000000005,56.65239833203761
0.2,10,4.0,4473034,55.25,92.15918915001009,92.14994909260149,92.16842920741868,61.02365773244861,55.25,55.514511596238705
0.25,10,4.0,4473034,52.42,90.60043728700494,90.59053350195808,90.6103410720518,57.53219826258108,52.42000000000001,52.630921901079674
0.3,10,4.0,4473034,46.83,88.12483976040198,88.11377598884411,88.13590353195985,50.89075791900524,46.83,46.93793511708368
0.35,10,4.0,4473034,46.589999999999996,88.17632716846002,88.16454497096959,88.18810936595045,50.81586142756611,46.589999999999996,46.655347969227144
0.4,10,4.0,4473034,47.3,88.43721925602777,88.4258298966587,88.44860861539686,51.91043685450373,47.300000000000004,47.72666317775555
0.0,10,4.5,4842634,74.51,96.76337017084788,96.75780160598623,96.76893873570954,74.36117621844758,74.51,74.39904838239308
0.05,10,4.5,4842634,72.77,96.52828194014664,96.52247236814566,96.53409151214763,73.49760200727428,72.77,72.76173846184146
0.1,10,4.5,4842634,56.48,92.3749737433415,92.3661168215124,92.3838306651706,60.32818867622331,56.48,56.72108023122985
0.15,10,4.5,4842634,59.35,93.26949940931189,93.26124332336755,93.27775549525622,63.55079027452686,59.349999999999994,59.762302339601504
0.2,10,4.5,4842634,53.94,91.41805521145311,91.40852967239476,91.42758075051145,60.511924239075285,53.94,54.50912869849696
0.25,10,4.5,4842634,50.519999999999996,90.03432988198854,90.0241857034438,90.04447406053328,56.043438276430166,50.519999999999996,51.1180202876554
0.3,10,4.5,4842634,48.339999999999996,88.67237017820642,88.66135851801263,88.6833818384002,52.700032973997466,48.339999999999996,48.185405103174055
0.35,10,4.5,4842634,48.120000000000005,88.4475141719266,88.43639811730046,88.45863022655274,51.91241927159711,48.120000000000005,48.40099297388337
0.4,10,4.5,4842634,47.47,87.79034306331903,87.77878173800863,87.80190438862944,50.666860050164274,47.47,47.77751621944007
0.0,10,5.0,5212234,79.24,97.71691107147309,97.71254651786393,97.72127562508224,79.13716427111879,79.24,79.15460766747042
0.05,10,5.0,5212234,73.33,96.57822467819949,96.57257569424846,96.58387366215052,74.13094994941972,73.33000000000001,73.40450411828796
0.1,10,5.0,5212234,65.14,94.85824138235131,94.85126720664013,94.8652155580625,67.79094024950643,65.14,65.22732975734017
0.15,10,5.0,5212234,57.08,92.61829324851624,92.60941493605343,92.62717156097905,62.0060112864113,57.080000000000005,57.53782539763429
0.2,10,5.0,5212234,53.31,91.40161772892296,91.39181346978576,91.41142198806016,61.07125661674336,53.31,53.41967228144357
0.25,10,5.0,5212234,48.25,89.8283346969902,89.81789851021212,89.83877088376828,56.027220131960995,48.25000000000001,48.04755097061837
0.3,10,5.0,5212234,47.39,88.67342800893887,88.66217979298759,88.68467622489015,53.070223835615124,47.39,47.558178724397635
0.35,10,5.0,5212234,46.300000000000004,88.01069146228961,87.99897073722079,88.02241218735844,52.37788086672385,46.29999999999999,46.553088126605466
0.4,10,5.0,5212234,45.18,87.76292778242767,87.75115830025516,87.77469726460018,50.88929060900217,45.18,44.80757642409377
0.0,10,5.5,5581834,71.5,96.09048131943423,96.08441364350958,96.09654899535887,71.38879062213401,71.50000000000001,71.38111458494802
0.05,10,5.5,5581834,71.22,96.22072966652851,96.21465992712011,96.22679940593692,72.31535105341318,71.22,71.3454639450666
0.1,10,5.5,5581834,65.2,94.79656774352976,94.78907824591802,94.80405724114152,69.16019171546918,65.20000000000002,65.53183408432307
0.15,10,5.5,5581834,56.230000000000004,92.34321044433645,92.33401066109947,92.35241022757344,60.46491042356934,56.230000000000004,56.58072696191647
0.2,10,5.5,5581834,53.76,91.45853561606705,91.4492072197689,91.46786401236521,59.92365080016386,53.760000000000005,54.24727744924244
0.25,10,5.5,5581834,52.73,90.59472649734823,90.58509582397255,90.60435717072392,58.1856107881005,52.73,53.23558435486658
0.3,10,5.5,5581834,46.63,87.96980183854251,87.95825964358555,87.98134403349947,49.696922514147076,46.63,46.23878046445474
0.35,10,5.5,5581834,45.800000000000004,87.19257539062178,87.18063503301856,87.204515748225,47.308943210891606,45.800000000000004,45.20309643654879
0.4,10,5.5,5581834,46.42,87.73112640098937,87.719796078026,87.74245672395274,50.303557039562975,46.419999999999995,46.84943282345188
0.0,10,6.0,5951434,77.52,97.38318230461532,97.37851531491017,97.38784929432045,77.34663042316055,77.52000000000001,77.40677830626967
0.05,10,6.0,5951434,65.41,94.66901179847551,94.66172002553745,94.67630357141358,66.64364931982266,65.41,65.47788323473853
0.1,10,6.0,5951434,60.38,93.5424520747377,93.53438375766284,93.55052039181255,64.32997946052798,60.37999999999999,60.70971396560548
0.15,10,6.0,5951434,58.95,93.33280060685266,93.32440467775068,93.34119653595462,64.62844240071412,58.94999999999999,59.318761284274366
0.2,10,6.0,5951434,52.83,91.04186991797992,91.0318720403246,91.05186779563525,58.77057363994166,52.83,53.15547290905302
0.25,10,6.0,5951434,50.55,90.16082526948038,90.15050490476348,90.17114563419729,56.53739667851261,50.55,50.93079145331926
0.3,10,6.0,5951434,47.57,88.37163652441103,88.36038455287381,88.38288849594824,49.463138033993104,47.56999999999999,47.16393263363917
0.35,10,6.0,5951434,48.72,89.11450136465959,89.10318725358002,89.12581547573917,54.086589246385344,48.72,48.74957903374922
0.4,10,6.0,5951434,45.019999999999996,86.73895032582477,86.72677401903773,86.75112663261181,46.786430443860496,45.019999999999996,44.64945876454923
0.0,12,0.5,2258122,77.45,97.38289232603898,97.37803584215376,97.3877488099242,77.37469853174662,77.45,77.39281762050308
0.05,12,0.5,2258122,74.77000000000001,96.88259356275005,96.87725453496044,96.88793259053966,75.75087501876595,74.77000000000001,74.82249645026371
0.1,12,0.5,2258122,68.19,95.45037447142536,95.44354538136668,95.45720356148404,71.07538045725576,68.19,68.36269815881845
0.15,12,0.5,2258122,62.49,94.23581218182282,94.22778131298934,94.24384305065631,66.8069833655847,62.49,62.89758119995701
0.2,12,0.5,2258122,59.29,93.1986157301462,93.1901619338574,93.20706952643499,64.05872064130158,59.29,59.61915095955376
0.25,12,0.5,2258122,56.3,92.18451758982219,92.1753746411193,92.19366053852507,60.8633540433561,56.3,56.723368911708185
0.3,12,0.5,2258122,52.42,90.62573409694676,90.61582393469561,90.63564425919789,56.964320196371375,52.42,52.89616627084383
0.35,12,0.5,2258122,51.910000000000004,89.93175816213088,89.92159380856094,89.9419225157008,55.4062789345655,51.91000000000001,52.16659970824742
0.4,12,0.5,2258122,48.72,88.5570945807483,88.54551836444772,88.56867079704888,50.27919160843422,48.72,48.99331086106395
0.0,12,1.0,2701642,77.71000000000001,97.44689590717338,97.44189360139501,97.45189821295175,77.52546940517212,77.71000000000001,77.58440338986917
0.05,12,1.0,2701642,74.59,96.79656367203472,96.79086629074797,96.80226105332147,75.68833190069012,74.59,74.7151653275731
0.1,12,1.0,2701642,68.16,95.50899829695521,95.50225244523568,95.51574414867473,70.04497137200475,68.16000000000001,68.41049850516113
0.15,12,1.0,2701642,62.01,93.91507835684988,93.9070664900004,93.92309022369936,64.97547087649849,62.01,62.29083538580029
0.2,12,1.0,2701642,59.13,92.79365416571459,92.78466660828609,92.8026417231431,63.11335587460621,59.13,59.497590967219914
0.25,12,1.0,2701642,55.75,91.80429377303072,91.79485351290666,91.81373403315479,59.86451842012278,55.75,56.11685181730826
0.3,12,1.0,2701642,52.239999999999995,90.36526339900593,90.35517991766154,90.3753468803503,55.81708587616144,52.239999999999995,52.30172021674001
0.35,12,1.0,2701642,49.02,88.97109432338245,88.960092659419,88.9820959873459,52.498953110314474,49.02,49.26461731926971
0.4,12,1.0,2701642,49.53,89.60545921866732,89.59475775524143,89.61616068209321,53.73153005527682,49.529999999999994,49.99746546226957
0.0,12,1.5,3145162,78.07,97.49844933867348,97.49372665609958,97.50317202124738,77.93597487500642,78.07,77.96078783808254
0.05,12,1.5,3145162,73.72999999999999,96.79914034044842,96.79388775069937,96.80439293019747,74.69943220706396,73.73,73.74922107715476
0.1,12,1.5,3145162,67.47999999999999,95.47794571830448,95.47112341167325,95.4847680249357,70.51068127788179,67.47999999999999,67.62630535990266
0.15,12,1.5,3145162,60.67,93.8001195253953,93.79202452216977,93.80821452862082,65.23481054471942,60.67,61.010670686887856
0.2,12,1.5,3145162,57.16,92.48050363639605,92.47132338766491,92.48968388512719,61.904436205327464,57.16,57.58040033663628
0.25,12,1.5,3145162,55.379999999999995,91.73720465746202,91.72777254279015,91.74663677213387,60.253713875592815,55.38000000000001,55.743383027241556
0.3,12,1.5,3145162,54.03,91.00993483165715,91.00044104084702,91.01942862246727,57.04347025261163,54.03,54.258382559063755
0.35,12,1.5,3145162,51.68000000000001,89.88524525184707,89.87425679923308,89.89623370446105,53.244157250512316,51.68000000000001,51.88212695559844
0.4,12,1.5,3145162,47.81,88.34604807449757,88.33482588997899,88.35727025901616,51.008105914969505,47.81000000000001,47.47954530163801
0.0,12,2.0,3588682,77.91,97.52445105545269,97.51976910365856,97.52913300724681,77.72342849587382,77.91,77.7805703539674
0.05,12,2.0,3588682,73.77,96.68556122272948,96.67989044540704,96.69123200005191,74.60168705606554,73.77,73.86563143738479
0.1,12,2.0,3588682,68.08,95.72425878597421,95.71782401182406,95.73069356012437,71.64757365577891,68.08000000000001,68.27049644934894
0.15,12,2.0,3588682,60.029999999999994,93.58865583470038,93.5806193945804,93.59669227482036,65.82092814725044,60.03000000000001,60.513002931015826
0.2,12,2.0,3588682,55.13,91.78724824355749,91.77787977227617,91.79661671483879,60.68413183927762,55.13,55.44648959706478
0.25,12,2.0,3588682,52.43,90.89047259973661,90.88056948896059,90.90037571051263,57.19835015317252,52.43,52.49479055982529
0.3,12,2.0,3588682,46.89,88.38071755233568,88.3694715745379,88.39196353013348,50.00900648184944,46.89,45.456603028342535
0.35,12,2.0,3588682,50.68,89.55471452436382,89.54418851367197,89.56524053505566,53.09008789627596,50.68,50.73714970577471
0.4,12,2.0,3588682,48.18,88.58813666012641,88.57687567180082,88.59939764845198,51.647914893342104,48.17999999999999,48.299626135622475
0.0,12,2.5,4032202,77.12,97.30370632367067,97.29869392817879,97.30871871916254,77.00940878172253,77.12,77.05003015502035
0.05,12,2.5,4032202,69.94,95.84478171542638,95.83834207049776,95.85122136035498,70.66867376119798,69.94,70.00322226282985
0.1,12,2.5,4032202,67.38,95.60556783720232,95.59920475648073,95.6119309179239,70.5575414688681,67.38,67.5212641342857
0.15,12,2.5,4032202,60.629999999999995,93.58697348476305,93.5789435617516,93.59500340777448,65.8240090816017,60.629999999999995,60.79507871483163
0.2,12,2.5,4032202,53.290000000000006,91.36438189991692,91.35462691612875,91.37413688370509,60.608887796524314,53.28999999999999,53.33579112535076
0.25,12,2.5,4032202,54.04,91.21338770259032,91.20321083179579,91.22356457338488,58.70283812469683,54.04,54.49206757521144
0.3,12,2.5,4032202,51.41,90.06367429863751,90.05319402673561,90.0741545705394,55.16433123555709,51.41000000000001,51.44132289524181
0.35,12,2.5,4032202,49.13,88.97322239230175,88.96228398893513,88.98416079566837,51.58017352479837,49.13,49.609957539691166
0.4,12,2.5,4032202,50.5,89.09244450088865,89.08085534671308,89.10403365506421,53.202987075579685,50.5,50.786032439516326
0.0,12,3.0,4475722,70.92,95.93927079287934,95.93294416764698,95.94559741811169,70.71896497122256,70.91999999999999,70.69605410107133
0.05,12,3.0,4475722,74.58,96.80380792039725,96.79820209442552,96.80941374636896,75.46855741240002,74.58,74.61568986617817
0.1,12,3.0,4475722,65.16,94.87987702331839,94.87275771088964,94.88699633574711,68.69880498129419,65.16000000000001,65.29137388959076
0.15,12,3.0,4475722,57.410000000000004,92.63361369500326,92.6244444689385,92.64278292106802,63.75492959660337,57.41,57.66381699084418
0.2,12,3.0,4475722,52.839999999999996,91.03463214694798,91.02465041846091,91.04461387543506,58.31195028586311,52.84000000000001,53.23761125965106
0.25,12,3.0,4475722,52.370000000000005,90.19116884396385,90.18070028798161,90.2016373999461,56.054200058798045,52.370000000000005,52.43376464912773
0.3,12,3.0,4475722,48.96,89.2074080543879,89.1966785701379,89.2181375386379,53.78096796478016,48.96,49.402397070618804
0.35,12,3.0,4475722,48.449999999999996,89.22875366386889,89.21810206222415,89.23940526551362,52.90326009856935,48.45,48.43550205076837
0.4,12,3.0,4475722,46.64,87.73635074118945,87.72443793214943,87.7482635502295,48.88066888505545,46.64,46.50752645448651
0.0,12,3.5,4919242,78.86999999999999,97.66625502535848,97.66194804536411,97.67056200535286,78.80616699463936,78.87,78.81541347097479
0.05,12,3.5,4919242,69.6,95.82926334846256,95.82282228753559,95.83570440938952,70.59100403625116,69.60000000000001,69.74312637390511
0.1,12,3.5,4919242,66.82000000000001,95.4398162672009,95.43320473491424,95.44642779948754,70.20225833618602,66.82000000000001,66.98095578568784
0.15,12,3.5,4919242,59.72,93.23356901628401,93.22526529847495,93.24187273409306,65.1829485632966,59.720000000000006,60.0575271584807
0.2,12,3.5,4919242,54.83,91.56836553037283,91.55884343917711,91.57788762156855,59.43673091725377,54.83,55.29083844562878
0.25,12,3.5,4919242,51.64,90.33029208274976,90.32006905993265,90.34051510556688,56.895204462249716,51.64000000000001,51.927905570661345
0.3,12,3.5,4919242,49.25,89.19332177715789,89.18211440325805,89.20452915105774,54.381999629523925,49.25000000000001,49.60741688470603
0.35,12,3.5,4919242,46.46,87.7879176838403,87.77637907033146,87.79945629734917,48.777394148308744,46.46,46.19398900215277
0.4,12,3.5,4919242,43.56,86.33965416725157,86.32741417808018,86.35189415642296,48.20571493799717,43.56,43.70447548847939
0.0,12,4.0,5362762,73.11,96.49691006327545,96.49115045441519,96.50266967213571,73.02282163918544,73.11,72.98496461031503
0.05,12,4.0,5362762,74.07000000000001,96.89742623871771,96.8919101667441,96.90294231069132,75.44724352719929,74.07000000000001,74.19446782064932
0.1,12,4.0,5362762,66.34,95.25953378084019,95.25259947737612,95.26646808430425,69.66426106677605,66.34,66.641633597882
0.15,12,4.0,5362762,56.86,92.50218705302593,92.49333932408916,92.51103478196269,63.267297335720606,56.86,56.85823364831266
0.2,12,4.0,5362762,53.16,91.61453038798683,91.60544409064124,91.62361668533244,60.561402575248536,53.16,53.13074507828654
0.25,12,4.0,5362762,51.739999999999995,90.36863412114265,90.35783216844412,90.37943607384116,56.678170801764935,51.74000000000001,52.30701941668347
0.3,12,4.0,5362762,48.77,89.30534009214514,89.29469934505028,89.31598083924001,53.87376082586985,48.769999999999996,48.57559948712432
0.35,12,4.0,5362762,36.17,81.87869079074429,81.8655515556529,81.89183002583566,36.05967624911424,36.17,34.4193823737607
0.4,12,4.0,5362762,44.16,87.17966075799227,87.16796643319049,87.19135508279405,48.81391653449486,44.160000000000004,44.274727820603076
0.0,12,4.5,5806282,70.49,95.81778879629135,95.81132762615994,95.82424996642278,70.29813393482573,70.49000000000001,70.2439507508662
0.05,12,4.5,5806282,61.94,93.55121212849383,93.54333822064916,93.5590860363385,63.12916483996188,61.94,61.96505065386294
0.1,12,4.5,5806282,65.11,95.08463781440685,95.07768705341762,95.09158857539607,69.22152523747103,65.10999999999999,65.23153343545434
0.15,12,4.5,5806282,60.27,93.53644183449518,93.52848577007128,93.54439789891906,65.52209940436717,60.26999999999999,60.68602698063537
0.2,12,4.5,5806282,56.38999999999999,92.0536249424029,92.04444857224506,92.06280131256077,60.966691583664215,56.39000000000001,56.68277459251737
0.25,12,4.5,5806282,50.260000000000005,89.97559491076552,89.96535181200336,89.98583800952768,55.66467577051192,50.25999999999999,50.54556763951135
0.3,12,4.5,5806282,46.44,87.81252457360435,87.80104251199748,87.82400663521123,49.998199874008144,46.440000000000005,46.521665214820565
0.35,12,4.5,5806282,48.86,88.80663232401622,88.79530944057919,88.81795520745325,53.58351118723691,48.86000000000001,49.25339752392141
0.4,12,4.5,5806282,46.27,87.61209177048525,87.60080060683674,87.62338293413377,48.66516747706444,46.27,46.00740399613749
0.0,12,5.0,6249802,70.54,95.93437237925616,95.9282723769977,95.94047238151462,70.50009489073943,70.54,70.34340018633831
0.05,12,5.0,6249802,69.76,95.82519369389205,95.81874634318332,95.83164104460077,70.73967646478734,69.76,69.78911834263909
0.1,12,5.0,6249802,62.81,94.03966077412515,94.03186414146589,94.04745740678442,66.04570526362423,62.81000000000001,63.13180260576116
0.15,12,5.0,6249802,58.07,92.8176563658923,92.80908379879746,92.82622893298716,62.63976329347898,58.07,58.54090178684533
0.2,12,5.0,6249802,50.57000000000001,90.07208774395336,90.06129962683757,90.08287586106914,55.69890153736174,50.56999999999999,50.9453800877414
0.25,12,5.0,6249802,51.6,90.20195271019138,90.19198862091977,90.21191679946298,56.80364193262095,51.59999999999999,51.918334794484835
0.3,12,5.0,6249802,48.52,88.93005671405042,88.91921097473914,88.94090245336169,51.59603512062011,48.52,48.481732372579884
0.35,12,5.0,6249802,46.660000000000004,88.15869450138317,88.14738757298292,88.1700014297834,51.16213103854561,46.660000000000004,46.89992027527342
0.4,12,5.0,6249802,42.53,86.00037598277171,85.98799722530335,86.01275474024008,44.85185176206319,42.53,41.41393988846435
0.0,12,5.5,6693322,77.86,97.42440089651791,97.41936929351378,97.42943249952202,77.80406392004322,77.86000000000001,77.81193075513156
0.05,12,5.5,6693322,70.22,95.90419322940052,95.8978058655765,95.91058059322452,71.33800919672046,70.22,70.30702222208227
