train_noise,depth,mlp_ratio,embed_dim,num_heads,params,epochs,test_noise,accuracy
0.0,10,0.5,192,3,1885834,30,0.0,76.43
0.05,10,0.5,192,3,1885834,30,0.0,71.46
0.1,10,0.5,192,3,1885834,30,0.0,64.65
0.15,10,0.5,192,3,1885834,30,0.0,62.78
0.2,10,0.5,192,3,1885834,30,0.0,57.71
0.25,10,0.5,192,3,1885834,30,0.0,54.95
0.3,10,0.5,192,3,1885834,30,0.0,54.16
0.35,10,0.5,192,3,1885834,30,0.0,51.2
0.4,10,0.5,192,3,1885834,30,0.0,51.32
0.0,10,1.0,192,3,2255434,30,0.0,77.62
0.05,10,1.0,192,3,2255434,30,0.0,75.52
0.1,10,1.0,192,3,2255434,30,0.0,68.97
0.15,10,1.0,192,3,2255434,30,0.0,63.86
0.2,10,1.0,192,3,2255434,30,0.0,58.09
0.25,10,1.0,192,3,2255434,30,0.0,55.32
0.3,10,1.0,192,3,2255434,30,0.0,52.86
0.35,10,1.0,192,3,2255434,30,0.0,51.66
0.4,10,1.0,192,3,2255434,30,0.0,50.85
0.0,10,1.5,192,3,2625034,30,0.0,75.01
0.05,10,1.5,192,3,2625034,30,0.0,74.29
0.1,10,1.5,192,3,2625034,30,0.0,67.53
0.15,10,1.5,192,3,2625034,30,0.0,63.06
0.2,10,1.5,192,3,2625034,30,0.0,57.32
0.25,10,1.5,192,3,2625034,30,0.0,55.76
0.3,10,1.5,192,3,2625034,30,0.0,51.02
0.35,10,1.5,192,3,2625034,30,0.0,50.64
0.4,10,1.5,192,3,2625034,30,0.0,50.07
0.0,10,2.0,192,3,2994634,30,0.0,77.83
0.05,10,2.0,192,3,2994634,30,0.0,73.7
0.1,10,2.0,192,3,2994634,30,0.0,66.24
0.15,10,2.0,192,3,2994634,30,0.0,60.95
0.2,10,2.0,192,3,2994634,30,0.0,52.04
0.25,10,2.0,192,3,2994634,30,0.0,53.08
0.3,10,2.0,192,3,2994634,30,0.0,54.0
0.35,10,2.0,192,3,2994634,30,0.0,48.23
0.4,10,2.0,192,3,2994634,30,0.0,48.15
0.0,10,2.5,192,3,3364234,30,0.0,73.54
0.05,10,2.5,192,3,3364234,30,0.0,75.09
0.1,10,2.5,192,3,3364234,30,0.0,65.81
0.15,10,2.5,192,3,3364234,30,0.0,61.05
0.2,10,2.5,192,3,3364234,30,0.0,54.62
0.25,10,2.5,192,3,3364234,30,0.0,52.47
0.3,10,2.5,192,3,3364234,30,0.0,51.82
0.35,10,2.5,192,3,3364234,30,0.0,46.36
0.4,10,2.5,192,3,3364234,30,0.0,48.37
0.0,10,3.0,192,3,3733834,30,0.0,76.78
0.05,10,3.0,192,3,3733834,30,0.0,73.14
0.1,10,3.0,192,3,3733834,30,0.0,66.67
0.15,10,3.0,192,3,3733834,30,0.0,60.68
0.2,10,3.0,192,3,3733834,30,0.0,54.85
0.25,10,3.0,192,3,3733834,30,0.0,53.56
0.3,10,3.0,192,3,3733834,30,0.0,51.47
0.35,10,3.0,192,3,3733834,30,0.0,49.48
0.4,10,3.0,192,3,3733834,30,0.0,48.91
0.0,10,3.5,192,3,4103434,30,0.0,74.93
0.05,10,3.5,192,3,4103434,30,0.0,75.54
0.1,10,3.5,192,3,4103434,30,0.0,67.45
0.15,10,3.5,192,3,4103434,30,0.0,60.39
0.2,10,3.5,192,3,4103434,30,0.0,52.91
0.25,10,3.5,192,3,4103434,30,0.0,49.75
0.3,10,3.5,192,3,4103434,30,0.0,48.77
0.35,10,3.5,192,3,4103434,30,0.0,45.93
0.4,10,3.5,192,3,4103434,30,0.0,45.37
0.0,10,4.0,192,3,4473034,30,0.0,79.01
0.05,10,4.0,192,3,4473034,30,0.0,72.12
0.1,10,4.0,192,3,4473034,30,0.0,64.1
0.15,10,4.0,192,3,4473034,30,0.0,56.33
0.2,10,4.0,192,3,4473034,30,0.0,55.25
0.25,10,4.0,192,3,4473034,30,0.0,52.42
0.3,10,4.0,192,3,4473034,30,0.0,46.83
0.35,10,4.0,192,3,4473034,30,0.0,46.59
0.4,10,4.0,192,3,4473034,30,0.0,47.3
0.0,10,4.5,192,3,4842634,30,0.0,74.51
0.05,10,4.5,192,3,4842634,30,0.0,72.77
0.1,10,4.5,192,3,4842634,30,0.0,56.48
0.15,10,4.5,192,3,4842634,30,0.0,59.35
0.2,10,4.5,192,3,4842634,30,0.0,53.94
0.25,10,4.5,192,3,4842634,30,0.0,50.52
0.3,10,4.5,192,3,4842634,30,0.0,48.34
0.35,10,4.5,192,3,4842634,30,0.0,48.12
0.4,10,4.5,192,3,4842634,30,0.0,47.47
0.0,10,5.0,192,3,5212234,30,0.0,79.24
0.05,10,5.0,192,3,5212234,30,0.0,73.33
0.1,10,5.0,192,3,5212234,30,0.0,65.14
0.15,10,5.0,192,3,5212234,30,0.0,57.08
0.2,10,5.0,192,3,5212234,30,0.0,53.31
0.25,10,5.0,192,3,5212234,30,0.0,48.25
0.3,10,5.0,192,3,5212234,30,0.0,47.39
0.35,10,5.0,192,3,5212234,30,0.0,46.3
0.4,10,5.0,192,3,5212234,30,0.0,45.18
0.0,10,5.5,192,3,5581834,30,0.0,71.5
0.05,10,5.5,192,3,5581834,30,0.0,71.22
0.1,10,5.5,192,3,5581834,30,0.0,65.2
